Year,Make,Model,Price,Seller Contact
2023,Tesla,Model Y Long Range,"$38,000",Call (877) 258-2957
2021,Tesla,Model Y Long Range Dual Motor All-Wheel Drive,"$31,976",Call (316) 232-6195
2024,Tesla,Cybertruck Cyberbeast,"$130,995",Call (224) 651-8917
2023,Tesla,Model Y AWD,"$39,999",Call (520) 223-4053
2022,Tesla,Model S Plaid,"$68,998",Call (855) 356-9327
2024,Tesla,Cybertruck All-Wheel Drive,"$99,995",Call (888) 840-9643
2024,Tesla,Cybertruck All-Wheel Drive,"$99,995",Call (888) 840-9643
2024,Tesla,Cybertruck All-Wheel Drive,"$116,900",Call (346) 326-4924
2022,Tesla,Model 3 Standard Range,"$19,283",Call (317) 961-2164
2024,Tesla,Cybertruck All-Wheel Drive,"$101,996",Call (866) 461-9630
2022,Tesla,Model S Base,"$46,900",Call (475) 444-1586
2023,Tesla,Model X Standard Range,"$62,500",Call (346) 326-4839
2024,Tesla,Cybertruck All-Wheel Drive,"$104,980",Call (708) 377-2625
2020,Tesla,Model Y Long Range Dual Motor All-Wheel Drive,"$28,990",Call (509) 537-0221
2016,Tesla,Model S 60D,"$25,695",Call (866) 481-2701
2016,Tesla,Model S 60D,"$25,695",Call (866) 481-2701
2020,Tesla,Model X Long Range Dual Motor All-Wheel Drive,"$45,999",Call (510) 605-3067
2020,Tesla,Model 3 Standard Range Plus,"$25,998",Call (833) 243-1653
2024,Tesla,Cybertruck All-Wheel Drive,"$109,998",Call (866) 798-3802
2019,Tesla,Model S 100D,"$31,998",Call (502) 890-0515
2024,Tesla,Cybertruck All-Wheel Drive,"$109,998",Call (866) 798-3802
2020,Tesla,Model S Long Range,"$31,995",Call (210) 682-8231
2019,Tesla,Model 3 Long Range,"$26,998",Call (956) 391-2300
2023,Tesla,Model Y,"$38,455",Call (401) 618-0462
2022,Tesla,Model S Plaid,"$75,999",Call (417) 512-5019
2024,Tesla,Cybertruck CYBERBEAST-FULL MATTE PPF,"$128,888",Call (830) 388-7517
2024,Tesla,Cybertruck CYBERBEAST-FULL MATTE PPF,"$128,888",Call (830) 388-7517
2022,Tesla,Model 3 Performance,"$33,900",Call (866) 796-1501
2024,Tesla,Model Y Performance,"$43,995",Call (877) 270-1454
2024,Tesla,Model Y Performance,"$43,995",Call (877) 270-1454
2021,Tesla,Model S Long Range Plus,"$41,990",Call (774) 250-3983
2021,Tesla,Model 3 Standard Range Plus,"$24,998",Call (904) 748-1274
2018,Tesla,Model 3 Long Range,"$23,995",Call (513) 804-3717
2021,Tesla,Model 3 Standard Range Plus,"$24,998",Call (904) 748-1274
2024,Tesla,Cybertruck All-Wheel Drive,"$116,995",Call (866) 545-1447
2023,Tesla,Model Y Long Range Dual Motor All-Wheel Drive,"$36,804",Call (877) 716-1567
2023,Tesla,Model Y Long Range Dual Motor All-Wheel Drive,"$36,804",Call (877) 716-1567
2021,Tesla,Model Y Long Range,"$28,612",
2017,Tesla,Model X 90D,"$28,500",
2017,Tesla,Model X 90D,"$28,500",
2020,Tesla,Model X Long Range Plus,"$41,998",
2023,Tesla,Model X Standard Range,"$75,995",
2022,Tesla,Model X Dual Motor All-Wheel Drive,"$59,888",
2020,Tesla,Model X Performance,"$71,998",
2023,Tesla,Model X Standard Range,"$65,000",
2018,Tesla,Model X P100D,"$39,352",
2019,Tesla,Model 3 Standard Range Plus,"$20,996",
2017,Tesla,Model X 75D,"$33,900",Call (802) 255-8191
2017,Tesla,Model X 100D AWD,"$32,791",Call (855) 346-1764
2021,Tesla,Model 3 Long Range,"$28,998",Call (256) 666-5122
2023,Tesla,Model 3 Standard Range,"$27,995",Call (530) 232-3808
2018,Tesla,Model S 75D,"$26,990",
2024,Tesla,Cybertruck Cyberbeast,"$130,000",N/A
2020,Tesla,Model X Long Range Plus Dual Motor All-Wheel Drive,"$39,995",
2021,Tesla,Model 3 Standard Range Plus,"$26,997",
2020,Tesla,Model Y Long Range Dual Motor All-Wheel Drive,"$32,987",Call (541) 442-4562
2021,Tesla,Model Y Long Range Dual Motor All-Wheel Drive,"$28,494",Call (210) 775-6807
2024,Tesla,Cybertruck AWD,"$90,000",N/A
2023,Tesla,Model Y Long Range,"$35,299",
2021,Tesla,Model S Plaid,"$60,888",
2022,Tesla,Model S Plaid,"$64,996",
2021,Tesla,Model S Plaid,"$59,999",
2023,Tesla,Model Y Long Range Dual Motor All-Wheel Drive,"$35,853",
2022,Tesla,Model X Dual Motor All-Wheel Drive,"$59,888",Call (239) 990-8446
2019,Tesla,Model 3 Long Range,"$20,998",
2024,Tesla,Cybertruck All-Wheel Drive,"$99,995",
2017,Tesla,Model S 75,"$22,000",N/A
2024,Tesla,Cybertruck AWD,"$104,999",N/A
2024,Tesla,Cybertruck,"$99,999",
2024,Tesla,Cybertruck All-Wheel Drive,"$124,895",
2024,Tesla,Cybertruck Cyberbeast,"$154,000",N/A
2022,Tesla,Model 3 Long Range,"$35,998",Call (910) 222-4510
2022,Tesla,Model 3,"$30,998",Call (251) 278-0317
2024,Tesla,Cybertruck Foundation Series,"$99,800",Call (847) 641-3690
2020,Tesla,Model Y Long Range Dual Motor All-Wheel Drive,"$29,963",Call (210) 682-8345
2016,Tesla,Model X 60D,"$28,949",Call (888) 471-5321
2018,Tesla,Model 3 Long Range,"$26,998",
2024,Tesla,Cybertruck Base,"$99,995",Call (630) 243-4715
2018,Tesla,Model 3 Long Range,"$21,000",Call (269) 591-7059
2020,Tesla,Model S Long Range,"$31,995",Call (210) 682-8231
2022,Tesla,Model 3 Long Range,"$22,450",Call (803) 358-8523
2024,Tesla,Cybertruck AWD,"$114,999",N/A
2015,Tesla,Model S 70D,"$19,000",Call (855) 629-9002
2018,Tesla,Model X 75D,"$34,388",Call (877) 533-0060
2022,Tesla,Model S Base,"$54,988",Call (413) 449-1122
2021,Tesla,Model Y Long Range Dual Motor All-Wheel Drive,"$32,987",Call (541) 442-4562
2014,Tesla,Model S Performance,"$22,500",N/A
2018,Tesla,Model 3 Long Range,"$20,800",Call (402) 858-7166
2021,Tesla,Model S Long Range,"$49,567",Call (866) 423-7964
2022,Tesla,Model X Dual Motor All-Wheel Drive,"$65,000",Call (813) 863-9911
2014,Tesla,Model S 85,"$24,999",Call (971) 317-3009
2023,Tesla,Model Y,"$41,991",Call (775) 900-9501
2024,Tesla,Cybertruck CYBERBEAST,"$122,995",Call (609) 874-7644
2024,Tesla,Cybertruck All-Wheel Drive,"$105,000",Call (352) 695-6468
2021,Tesla,Model S Plaid,"$74,950",N/A
2021,Tesla,Model S Plaid,"$59,990",Call (971) 274-5300
2021,Tesla,Model S Plaid,"$63,000",Call (888) 801-0626
2022,Tesla,Model 3 Long Range,"$24,981",Call (816) 596-2144
2021,Tesla,Model Y Long Range Dual Motor All-Wheel Drive,"$31,627",Call (509) 537-0190
2018,Tesla,Model S P100D,"$35,499",N/A
2020,Tesla,Model 3 Performance,"$29,990",N/A
2020,Tesla,Model X Performance AWD,"$44,500",Call (937) 466-9172
2021,Tesla,Model S Plaid,"$52,336",Call (888) 903-4602
2016,Tesla,Model X 75D,"$28,995",Call (313) 666-3673
2022,Tesla,Model X Dual Motor All-Wheel Drive,"$64,599",Call (941) 877-1770
